Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,243,Jeff Davis,2,28
2000-2010,2015,243,Jeff Davis,3,27
2000-2010,2015,243,Jeff Davis,4,26
2000-2010,2015,245,Jefferson,0,"3,592"
2000-2010,2015,245,Jefferson,1,"3,556"
2000-2010,2015,245,Jefferson,2,"3,531"
2000-2010,2015,245,Jefferson,3,"3,517"
2000-2010,2015,245,Jefferson,4,"3,513"
2000-2010,2015,247,Jim Hogg,0,90
2000-2010,2015,247,Jim Hogg,1,87
2000-2010,2015,247,Jim Hogg,2,89
2000-2010,2015,247,Jim Hogg,3,85
2000-2010,2015,247,Jim Hogg,4,82
2000-2010,2015,249,Jim Wells,0,796
2000-2010,2015,249,Jim Wells,1,788
2000-2010,2015,249,Jim Wells,2,786
2000-2010,2015,249,Jim Wells,3,780
2000-2010,2015,249,Jim Wells,4,762
2000-2010,2015,251,Johnson,0,"2,200"
2000-2010,2015,251,Johnson,1,"2,174"
2000-2010,2015,251,Johnson,2,"2,160"
2000-2010,2015,251,Johnson,3,"2,145"
2000-2010,2015,251,Johnson,4,"2,154"
2000-2010,2015,253,Jones,0,189
2000-2010,2015,253,Jones,1,189
2000-2010,2015,253,Jones,2,190
2000-2010,2015,253,Jones,3,186
2000-2010,2015,253,Jones,4,188
2000-2010,2015,255,Karnes,0,155
2000-2010,2015,255,Karnes,1,150
2000-2010,2015,255,Karnes,2,151
2000-2010,2015,255,Karnes,3,145
2000-2010,2015,255,Karnes,4,142
2000-2010,2015,257,Kaufman,0,"1,616"
2000-2010,2015,257,Kaufman,1,"1,579"
2000-2010,2015,257,Kaufman,2,"1,537"
2000-2010,2015,257,Kaufman,3,"1,502"
2000-2010,2015,257,Kaufman,4,"1,490"
2000-2010,2015,259,Kendall,0,374
2000-2010,2015,259,Kendall,1,367
2000-2010,2015,259,Kendall,2,355
2000-2010,2015,259,Kendall,3,347
2000-2010,2015,259,Kendall,4,344
2000-2010,2015,261,Kenedy,0,5
2000-2010,2015,261,Kenedy,1,5
2000-2010,2015,261,Kenedy,2,5
2000-2010,2015,261,Kenedy,3,5
2000-2010,2015,261,Kenedy,4,5
2000-2010,2015,263,Kent,0,8
2000-2010,2015,263,Kent,1,8
2000-2010,2015,263,Kent,2,8
2000-2010,2015,263,Kent,3,8
2000-2010,2015,263,Kent,4,8
2000-2010,2015,265,Kerr,0,586
2000-2010,2015,265,Kerr,1,584
